global_step,episode,raw_episode_return,episode_length,current_raw_episode_return,current_training_episode_return,epsilon,loss,q_mean,q_max,target_mean,gradient_norm,replay_size,steps_per_second,sps,optimizer_updates,optimizer_updated,target_sync_count,last_target_sync_step,raw_reward,training_reward,action_source
162,0,,,1.0,1.0,0.76315,,,,,,162,167.80138034940668,167.80138034940668,33,False,2,100,0.0,0.0,random
163,0,,,1.0,1.0,0.7623,,,,,,163,168.48901838934776,168.48901838934776,33,False,2,100,0.0,0.0,random
164,0,,,1.0,1.0,0.76145,0.00019651910406537354,0.04600108414888382,0.0691300481557846,0.037438906729221344,0.014751432463526726,164,165.8195042506219,165.8195042506219,34,True,2,100,0.0,0.0,random
165,0,,,1.0,1.0,0.7606,,,,,,165,166.3765496621583,166.3765496621583,34,False,2,100,0.0,0.0,random
166,0,,,1.0,1.0,0.75975,,,,,,166,166.9468725766987,166.9468725766987,34,False,2,100,0.0,0.0,random
167,0,,,1.0,1.0,0.7589,,,,,,167,167.526082163634,167.526082163634,34,False,2,100,0.0,0.0,random
168,0,,,1.0,1.0,0.75805,0.05871037021279335,0.04227258265018463,0.06847502291202545,0.16242796182632446,0.1447453647851944,168,165.403789052872,165.403789052872,35,True,2,100,0.0,0.0,random
169,0,,,1.0,1.0,0.7572,,,,,,169,166.03010332085307,166.03010332085307,35,False,2,100,0.0,0.0,random
170,0,,,1.0,1.0,0.7563500000000001,,,,,,170,166.6054799938756,166.6054799938756,35,False,2,100,0.0,0.0,greedy
171,0,,,1.0,1.0,0.7555000000000001,,,,,,171,167.230605424769,167.230605424769,35,False,2,100,0.0,0.0,random
172,0,,,1.0,1.0,0.75465,0.0003280885866843164,0.054833415895700455,0.07382015883922577,0.037656232714653015,0.0224281158298254,172,165.1166025656712,165.1166025656712,36,True,2,100,0.0,0.0,random
173,0,,,1.0,1.0,0.7538,,,,,,173,165.64932766016673,165.64932766016673,36,False,2,100,0.0,0.0,random
174,0,,,1.0,1.0,0.75295,,,,,,174,166.16533756727134,166.16533756727134,36,False,2,100,0.0,0.0,random
175,0,,,1.0,1.0,0.7521,,,,,,175,166.7519007041629,166.7519007041629,36,False,2,100,0.0,0.0,greedy
176,0,,,1.0,1.0,0.75125,0.0001040549686877057,0.04046984761953354,0.07777915894985199,0.0374356172978878,0.0064401221461594105,176,164.4533058293542,164.4533058293542,37,True,2,100,0.0,0.0,random
177,0,,,1.0,1.0,0.7504000000000001,,,,,,177,165.01750165323494,165.01750165323494,37,False,2,100,0.0,0.0,random
178,0,,,2.0,2.0,0.74955,,,,,,178,165.5962759021616,165.5962759021616,37,False,2,100,1.0,1.0,random
179,0,,,2.0,2.0,0.7487,,,,,,179,166.21685969580523,166.21685969580523,37,False,2,100,0.0,0.0,random
180,0,,,2.0,2.0,0.74785,0.000364021077984944,0.05324383080005646,0.08154517412185669,0.037432145327329636,0.02084665186703205,180,164.429451730435,164.429451730435,38,True,2,100,0.0,0.0,random
181,0,,,2.0,2.0,0.747,,,,,,181,165.06658476570814,165.06658476570814,38,False,2,100,0.0,0.0,greedy
182,0,,,2.0,2.0,0.7461500000000001,,,,,,182,165.63957991597607,165.63957991597607,38,False,2,100,0.0,0.0,random
